author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
GloraX;developer;https://spb.cian.ru/sale/flat/279508090/;Sankt-Peterburg;sale;flat;4;19;3;71.68;255580;18319999;2025;34.0;13.0;+78122134320;Vasileostrovskij;Morskoj;Zenit;Gloraks Premium Vasileostrovskij ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285017515/;Sankt-Peterburg;sale;flat;6;18;3;86.8;224881;19519748;2023;48.0;13.0;+78122134074;Admiraltejskij;Izmajlovskoe;Baltijskaja;Kvartal Galaktika
GloraX;developer;https://spb.cian.ru/sale/flat/279351681/;Sankt-Peterburg;sale;flat;7;14;3;78.79;246858;19449999;2024;38.0;17.0;+78122134124;Krasnogvardejskij;Malaja Ohta;Ladozhskaja;Gloraks Zanevskij ZhK
LEGENDA Intelligent Development;representative_developer;https://spb.cian.ru/sale/flat/283760360/;Sankt-Peterburg;sale;flat;2;9;3;91.68;279300;25606224;2023;72.0;13.0;+78122181128;Krasnogvardejskij;Malaja Ohta;Novocherkasskaja;Maloohtinskij 68 ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/283802383/;Sankt-Peterburg;sale;flat;2;9;3;74.09;237904;17626340;2024;33.0;19.0;+78122132252;Kalininskij;Finljandskij;Vyborgskaja;iLona
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285018928/;Sankt-Peterburg;sale;flat;7;25;3;59.5;201648;11998111;2024;31.0;13.0;+78122181154;Primorskij;Kolomjagi;Prospekt Prosveschenija;Novoorlovskij ZhK
ПИК;developer;https://spb.cian.ru/sale/flat/279234919/;Sankt-Peterburg;sale;flat;1;9;3;81.7;237150;19375155;2025;41.0;20.0;+78122134151;Admiraltejskij;Izmajlovskoe;Baltijskaja;Lermontovskij 54 ZhK
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/283097182/;Sankt-Peterburg;sale;flat;3;9;3;91.27;297000;27107190;2025;35.0;29.0;+78123894283;Primorskij;Chernaja rechka;Chernaja rechka;
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285017904/;Sankt-Peterburg;sale;flat;1;18;3;121.5;236652;28753293;2021;51.0;18.0;+78124269058;Nevskij;Nevskaja zastava;Elizarovskaja;Etalon na Neve
AAG;developer;https://spb.cian.ru/sale/flat/276667314/;Sankt-Peterburg;sale;flat;5;7;3;159.22;395486;62969426;2024;56.0;47.0;+78124269984;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja;Amo
GloraX;developer;https://spb.cian.ru/sale/flat/282487145/;Sankt-Peterburg;sale;flat;7;18;3;67.94;284810;19349999;2024;34.0;17.0;+78122134219;Vasileostrovskij;Morskoj;Primorskaja;GloraX Vasileostrovskij
Инвестторг;developer;https://spb.cian.ru/sale/flat/251074931/;Sankt-Peterburg;sale;flat;3;10;3;88.0;200000;17600000;2021;43.0;15.0;+78123896728;Frunzenskij;Dnepropetrovskaja;Obvodnyj kanal;Dom u Karetnogo
AAG;developer;https://spb.cian.ru/sale/flat/277644043/;Sankt-Peterburg;sale;flat;1;7;3;134.6;432715;58243483;2022;26.0;48.0;+78123896724;Vasileostrovskij;20-ja Vasil'evskogo ostrova linija;Gornyj institut;Malen'kaja Frantsija
Группа Эталон;developer;https://spb.cian.ru/sale/flat/284956332/;Sankt-Peterburg;sale;flat;5;9;3;110.6;334130;36954870;2022;57.0;20.0;+78122132259;Petrogradskij;Petrovskij;Krestovskij ostrov;Petrovskaja Dominanta
ПИК;developer;https://spb.cian.ru/sale/flat/284669844/;Sankt-Peterburg;sale;flat;5;12;3;79.1;230091;18200277;2025;33.0;22.0;+78122181125;Vasileostrovskij;Gavan';Gornyj institut;Shkiperskij 19 ZhK
RBI;developer;https://spb.cian.ru/sale/flat/268565396/;Sankt-Peterburg;sale;flat;4;8;3;103.3;301621;31157482;2023;42.0;20.0;+78122132249;Admiraltejskij;12-ja Krasnoarmejskaja;Baltijskaja;Sozidateli
Группа Эталон;developer;https://spb.cian.ru/sale/flat/284405908/;Sankt-Peterburg;sale;flat;9;10;3;96.5;309844;29900000;2022;47.0;17.0;+78124269983;Primorskij;Beloostrovskaja;Chernaja rechka;Domino
RBI;developer;https://spb.cian.ru/sale/flat/270279665/;Sankt-Peterburg;sale;flat;20;24;3;73.8;221275;16330132;2023;37.0;15.0;+78122134228;Primorskij;Plesetskaja;Komendantskij prospekt;Ultra City
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285018239/;Sankt-Peterburg;sale;flat;17;19;3;102.4;233909;23952321;2022;49.0;18.0;+78122181141;Moskovskij;Moskovskaja zastava;Moskovskie vorota;Moskovskie vorota II ZhK
Унистрой;developer;https://spb.cian.ru/sale/flat/277296371/;Sankt-Peterburg;sale;flat;5;10;3;114.0;322105;36720000;2024;55.0;31.0;+78122133861;Krasnogvardejskij;Bol'shaja Ohta;Novocherkasskaja;Jupoint ZhK
ПИК;developer;https://spb.cian.ru/sale/flat/284566351/;Sankt-Peterburg;sale;flat;2;12;3;70.3;215541;15152602;2025;36.0;19.0;+78122181147;Frunzenskij;Volkovskoe;Obvodnyj kanal;Vitebskij Park ZhK
Группа Эталон;developer;https://spb.cian.ru/sale/flat/283803225/;Sankt-Peterburg;sale;flat;1;8;3;83.8;225210;18872615;2022;51.0;13.0;+78122132387;Moskovskij;Chernigovskaja;Moskovskie vorota;Kvartal Che
СЕНАТОР;developer;https://spb.cian.ru/sale/flat/254228032/;Sankt-Peterburg;sale;flat;2;8;3;88.25;140679;12415000;2022;51.0;15.0;+78122134110;Kurortnyj;Pravdy;;Marioki
AAG;developer;https://spb.cian.ru/sale/flat/276667395/;Sankt-Peterburg;sale;flat;6;9;3;139.74;359959;50300801;2024;54.0;51.0;+78124263208;Krasnogvardejskij;Pomjalovskogo;Novocherkasskaja;Akzent
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/284503725/;Sankt-Peterburg;sale;flat;4;5;3;116.4;210481;24500000;2005;65.0;15.0;+79681933625;Primorskij;Glavnaja;Pionerskaja;
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/279229876/;Sankt-Peterburg;sale;flat;7;11;3;104.7;219675;23000000;2022;55.0;20.0;+79681933625;Admiraltejskij;Izmajlovskoe;Frunzenskaja;Galaktika Pro
ID 25426337;realtor;https://spb.cian.ru/sale/flat/279854272/;Sankt-Peterburg;sale;flat;6;9;3;126.0;573412;72250000;2017;-1;-1;+79118419158;Tsentral'nyj;Kirochnaja;Chernyshevskaja;Schedrin
Группа Эталон;developer;https://spb.cian.ru/sale/flat/285018891/;Sankt-Peterburg;sale;flat;2;12;3;68.3;141884;9690708;2025;32.0;17.0;+78122181108;Pushkinskij;;Kupchino;Monografija ZhK
ID 11223130;unknown;https://spb.cian.ru/sale/flat/283811564/;Sankt-Peterburg;sale;flat;22;24;3;85.0;167058;14200000;2022;-1;14.0;+79681941357;Primorskij;Komendantskij aerodrom;Pionerskaja;Primorskij kvartal
RBI;developer;https://spb.cian.ru/sale/flat/250578892/;Sankt-Peterburg;sale;flat;1;4;3;325.2;608856;198000000;2022;52.0;36.0;+78122132242;Petrogradskij;Chkalovskoe;Krestovskij ostrov;Klubnyj dom Krestovskij IV
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/283099184/;Sankt-Peterburg;sale;flat;3;20;3;157.8;282000;44499600;2021;51.0;51.0;+78122134376;Vyborgskij;Svetlanovskoe;Ploschad' Muzhestva;
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/283096658/;Sankt-Peterburg;sale;flat;2;9;3;87.23;350000;30530500;2025;43.0;20.0;+78122136834;Vasileostrovskij;20-ja Vasil'evskogo ostrova linija;Gornyj institut;
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/279381533/;Sankt-Peterburg;sale;flat;15;17;3;107.0;205514;21990000;2011;60.0;11.0;+79812324391;Primorskij;Parashjutnaja;Komendantskij prospekt;Komendantskij kvartal
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/274433258/;Sankt-Peterburg;sale;flat;16;18;3;75.35;225719;17008001;2024;33.0;13.0;+78122134047;Moskovskij;Novoizmajlovskoe;Leninskij prospekt;Cube
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/280012679/;Sankt-Peterburg;sale;flat;3;13;3;70.1;203008;14230866;2024;36.0;13.0;+78122181078;Primorskij;Juntolovo;Begovaja;Tajm Skver ZhK
ПИК;developer;https://spb.cian.ru/sale/flat/279628204/;Sankt-Peterburg;sale;flat;2;12;3;82.4;198240;16334976;2025;31.0;26.0;+78122136750;Frunzenskij;Volkovskoe;Volkovskaja;Aeronavt ZhK
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/258156108/;Sankt-Peterburg;sale;flat;1;9;3;98.46;286000;28159560;2025;-1;-1;+78122134295;Petrogradskij;Posadskij;Petrogradskaja;Manufaktura James Beck
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/280994597/;Sankt-Peterburg;sale;flat;2;8;3;77.34;402300;31113882;2023;37.0;20.0;+78122181249;Petrogradskij;Chkalovskoe;Petrogradskaja;Severnaja Korona
RBI;developer;https://spb.cian.ru/sale/flat/277297079/;Sankt-Peterburg;sale;flat;6;9;3;89.7;443837;39812242;2025;43.0;20.0;+78122136849;Tsentral'nyj;Mirgorodskaja;Ploschad' Aleksandra Nevskogo;Mir'
РСТИ;developer;https://spb.cian.ru/sale/flat/284951700/;Sankt-Peterburg;sale;flat;1;8;3;96.8;345000;33396000;2022;47.0;16.0;+78124269142;Petrogradskij;Petrovskij;Krestovskij ostrov;Familia
РСТИ;developer;https://spb.cian.ru/sale/flat/280115693/;Sankt-Peterburg;sale;flat;3;7;3;72.87;217000;15812790;2025;35.0;17.0;+78122136061;Kalininskij;Finljandskij;Vyborgskaja;Master Place
ID 12546353;realtor;https://spb.cian.ru/sale/flat/272297953/;Sankt-Peterburg;sale;flat;8;11;3;90.0;163333;14700000;2014;49.0;18.0;+79117420314;Pushkinskij;Arhitektora Danini;Kupchino;Samoe serdtse
Полис;developer;https://spb.cian.ru/sale/flat/282780644/;Sankt-Peterburg;sale;flat;2;13;3;76.63;185428;14209360;2023;37.0;19.0;+78122134001;Primorskij;Juntolovo;Komendantskij prospekt;Polis Primorskij
RBI;developer;https://spb.cian.ru/sale/flat/250578874/;Sankt-Peterburg;sale;flat;9;9;3;128.4;654420;84027597;2022;44.0;34.0;+78122132216;Petrogradskij;Barochnaja;Chkalovskaja;Futurist
ПИК;developer;https://spb.cian.ru/sale/flat/280536871/;Sankt-Peterburg;sale;flat;3;13;3;80.8;244500;19755600;2022;41.0;17.0;+78123896955;Vyborgskij;Sampsonievskoe;Lesnaja;Kantemirovskaja 11
Группа Эталон;developer;https://spb.cian.ru/sale/flat/283801999/;Sankt-Peterburg;sale;flat;8;10;3;81.19;303214;24617949;2023;50.0;11.0;+78123893007;Admiraltejskij;Kurljandskaja;Baltijskaja;Wellamo
Интеском;developer;https://spb.cian.ru/sale/flat/281600948/;Sankt-Peterburg;sale;flat;1;5;3;85.89;230000;19754700;2024;-1;-1;+78124269149;Vyborgskij;Beregovaja;Ozerki;Loft u Ozera
СЕНАТОР;developer;https://spb.cian.ru/sale/flat/284022146/;Sankt-Peterburg;sale;flat;9;13;3;125.86;550000;69223000;2023;38.0;28.0;+78123892180;Kurortnyj;Primorskoe shosse;;MFK Morskaja riv'era
RBI;developer;https://spb.cian.ru/sale/flat/250965918/;Sankt-Peterburg;sale;flat;4;6;3;103.4;344897;35662351;2022;42.0;23.0;+78122132213;Admiraltejskij;11-ja Krasnoarmejskaja;Baltijskaja;Bolkonskij
Отделстрой;developer;https://spb.cian.ru/sale/flat/271155029/;Sankt-Peterburg;sale;flat;9;12;3;75.81;249307;18900000;2022;41.0;12.0;+78122134142;Vyborgskij;Aleksandra Matrosova;Lesnaja;Novyj Lessner
GloraX;developer;https://spb.cian.ru/sale/flat/279507004/;Sankt-Peterburg;sale;flat;3;20;3;91.99;223767;20584336;2023;54.0;11.0;+78122134227;Vasileostrovskij;Cheljuskina;Primorskaja;Golden City
RBI;representative_developer;https://spb.cian.ru/sale/flat/277532887/;Sankt-Peterburg;sale;flat;3;9;3;92.81;369483;34291770;2025;-1;-1;+78123895025;Petrogradskij;Malaja Zelenina;Chkalovskaja;Kvadrija
Elba;developer;https://spb.cian.ru/sale/flat/282818977/;Sankt-Peterburg;sale;flat;4;10;3;74.44;241805;18000000;2024;38.0;14.0;+78122181178;Frunzenskij;Prilukskaja;Obvodnyj kanal;Dom na Prilukskoj
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/273852756/;Sankt-Peterburg;sale;flat;8;9;3;110.13;430000;47355900;2025;-1;-1;+78122132248;Petrogradskij;Malaja Zelenina;Chkalovskaja;Kvadrija
